rid,ri_stratum
5e872986-8366-1aa0-e3fc-61379b487a07,6
5e87298c-5376-83df-fe26-a22ad5af1ac2,20
5e87298c-6615-5ce6-c835-34965da8b998,9
5e872996-0173-dbe1-aa13-e953d418d97d,32
5e872998-0521-3a8a-9bae-5718a61c524d,30
5e8729a8-d94e-817c-b9d1-542d2e28a359,18
5e8729b0-6c23-b57c-6267-e6226c419687,1
5e8729b1-f1e4-1be1-db1a-70d8439e9920,9
5e8729b6-c818-e12a-c817-90052b6b7b95,28
5e8729c8-be79-1809-c1d1-2bf323d9112f,41
5e8729cc-97f4-239d-4f24-1a8fb37df1ca,30
5e8729ce-e002-59f6-43a4-4d284e94c67b,29
5e8729cf-6ac5-cc8c-6527-0c0032f85c76,13
5e8729d8-fad3-733c-9e38-fc9148c58c1e,35
5e8729db-b4d4-1864-d14f-fc2cdf239cf4,15
5e8729eb-b2af-91af-8ee1-2fe32b3cc5a4,19
5e8729ec-9e82-51ec-c9f2-9a0da5079f0e,15
5e8729ee-0354-d62c-e984-e2f10fe5017f,28
5e8729f9-98c6-e353-d8d7-14052088aabb,16
5e8729fe-5aeb-5b40-2b4b-fa545820ac87,29
5e872a09-59e5-ffd1-ef3f-1f5ad530c2e1,22
5e872a0f-dc6e-618e-3882-3876ac44497c,15
5e872a1a-39b9-fae5-4e9c-58bb26d83ee5,2
5e872a1d-604e-adf3-c30d-b670181944cf,38
5e872a29-32b0-4e81-c10a-ed42d3f568b9,25
5e872a2e-65fe-0d6f-7917-8b48f61d4a8a,33
5e872a33-9b7e-13e4-6c4f-857266b5ce38,36
5e872a37-453d-814f-c0a6-8f5847fc7755,1
5e872a3a-4d27-ac85-463f-4a369e634b5c,26
5e872a3b-03df-931e-5d91-bfda51ab25db,26
5e872a41-fb67-5bbb-0bab-707bf9c0dfea,16
5e872a6a-0e2b-9c24-5211-193bab35db93,38
5e872a74-2c27-6047-4d3f-074c59ca31bf,34
5e872a74-7154-8550-45d6-6506d4200f9e,29
5e872a78-370b-48fe-9842-cba8cc85d3e1,9
5e872a78-d7b4-18fa-b070-783dd35ebad9,8
5e872a7e-0c3d-eec6-0226-02d0f66db701,8
5e872a89-2351-5326-d58c-8e277f21926e,39
5e872a89-867c-d8e5-43c0-f36684d17afe,15
5e872a9c-9ba3-28c7-83d3-e733b9a5797b,25
5e872aa5-f2e7-2040-cb09-870684dbffc3,9
5e872aab-448a-ac86-5b53-52911d423dff,19
5e872aaf-540f-5693-ca76-73cc97fbf61f,37
5e872ab2-4c64-7d62-8018-68072e56c5d5,29
5e872ab5-14fd-9d43-466c-eea993d6418c,30
5e872ab6-caab-ecd4-a8f3-9e2c396ce49e,2
5e872ab9-160f-9cfa-09f4-57ac2a7aa79a,18
5e872ab9-daaa-643a-502d-5e8eb64f5938,56
5e872aba-3b34-c98a-4daa-b0e63052ad84,42
5e872abc-d10a-533c-b49f-10476423cd64,70
5e872ac2-5c14-a72a-5f16-a3dd8644a91b,39
5e872ac6-31f0-e85b-9116-61961f600606,24
5e872aca-953a-8047-8523-0679330168e7,2
5e872ad2-032a-44bc-6dcf-a572d0c25d7e,38
5e872ad3-7e28-62cb-ded9-af9d2effeba2,20
5e872ad9-ad4c-eca8-10a7-9700b640fca7,19
5e872adc-aeee-c2ad-1d7b-1b39b317b1b8,59
5e872add-9802-a933-53ec-625a204cabb7,20
5e872ade-7d0e-f086-fb1c-5b0af9b11242,2
5e872ae0-7353-f1a1-5d53-b27709b1953e,39
5e872ae2-ddac-875a-e556-857886fca93e,56
5e872ae3-1782-a77e-65af-ef73883510b7,21
5e872ae8-344e-06eb-49f8-9aa7a32489b0,37
5e872ae8-7b06-3991-5474-bd0b87c8eb2c,34
5e872ae9-b688-1648-b103-5482d6ddb819,23
5e872aea-5d7c-848d-8213-76dfeac55ea2,15
5e872aed-3fcb-4406-ffe3-43216771089d,14
5e872af4-8166-5dae-68dd-8d926d994fac,31
5e872af6-9513-4d42-1c43-b8dfa16d9a3a,59
5e872afb-d519-b020-f786-f91bc3b8fe78,25
5e872b03-478f-9e1a-9336-e801fb4fbcc2,31
5e872b04-6901-c56a-cedf-e98fc14d6943,35
5e872b15-f77d-97cf-07d8-fc0508cb5954,31
5e872b16-e978-f013-0b3d-58fc6f4b12cc,21
5e872b1f-8d79-9d81-36ec-1a40f851c325,18
5e872b20-e622-5bb1-332e-021d9163adb5,2
5e872b27-319e-d5c0-caee-e70f7ec33a52,42
5e872b32-cfe9-a366-4eba-cf6c6133d396,26
5e872b37-85bc-2ca9-7980-cee326f19bec,14
5e872b42-5203-61b7-cf11-5847f47c1e51,26
5e872b43-10b8-861b-5bb0-65f55310e4e5,61
5e872b4e-bc91-3010-451f-b036a4cca509,35
5e872b4e-e0e9-80ac-2aa7-2499ee5e5a0c,54
5e872b5a-c5da-c085-7338-8093636f8f73,38
5e872b5e-3cfd-366a-6dc3-e0196193051e,42
5e872b5f-520b-6de1-abb3-1af4c87669e2,43
5e872b67-5e86-5bcd-e4a9-cc2df30e81c8,39
5e872b67-d54d-86f9-fb21-15d4f5881843,31
5e872b6a-c6b0-006f-0eb8-1b7938bb20c6,18
5e872b6b-cf67-2522-a9f7-ac8f232723d6,9
5e872b6d-7380-8a71-d7b4-abf6ddd757e0,30
5e872b70-c770-07c1-2ac7-05d0e1619435,47
5e872b78-1a98-00b8-11b0-9701ecaab38a,69
5e872b7a-1539-5017-a632-c22f88f4e83b,47
5e872b7a-da7d-1db2-e455-ffd38ef470a9,70
5e872b7c-bb96-e956-90e3-5ed5e5fef343,19
5e872b80-d992-e21e-7877-731277aa3af2,60
5e872b82-8649-d20f-28ae-f4f1a37ad607,27
5e872b92-495f-afc9-97d8-18449291f803,64
5e872b98-1df9-fe83-45e1-eefb7e10aa79,50
5e872b9d-875e-1cc5-e213-7b7b8d92df97,1
5e872b9d-abbc-e67e-a690-437cd1374b08,6
5e872ba9-c60f-f80e-0a4a-bf37b7e72dc8,19
5e872bbf-90b3-290f-d0dd-c0b06a61da13,25
5e872bcc-d51a-0e4b-bb03-629660249f76,1
5e872bd0-184c-7ea3-7051-a9c243535d53,66
5e872bd1-060c-089d-db3a-834afd8c2930,43
5e872bd2-788f-c15f-d2a3-a3fc06d6cdd1,50
5e872bd4-3088-6945-401a-f2f5c1475a4b,40
5e872bdb-392b-7c5f-bef1-d1c3c2510ba7,42
5e872bde-54c8-d802-95a1-2436a2ee21b9,33
5e872bdf-daaf-921f-e6b9-e78dfaa59f33,24
5e872bf6-d945-d166-a628-2f75f0b86d54,51
5e872c10-be99-a90b-ae5c-c0f31b171cd6,2
5e872c17-8cb1-b6c7-4419-9a7218c66b56,51
5e872c1a-ce86-44f2-f6da-4d865b776f49,45
5e872c21-0869-5ef9-5f15-9b6e3b71ce15,54
5e872c21-58d0-6fc2-0d7b-32a91d4fa134,40
5e872c31-60c8-d72a-106e-8261651d7d96,22
5e872c38-b929-0f1c-4f9a-57f860d98fde,35
5e872c3f-ded2-cae8-c97a-574418b2acf2,45
5e872c40-caf1-4031-b69a-9659c2cd1dbe,18
5e872c41-0060-f8c1-647b-60b3642cd76b,37
5e872c44-7c89-9ca4-f25f-a1ea5f93c175,45
5e872c49-f2d5-7d51-d898-37a9cd732fad,23
5e872c4b-adaf-413d-f6a7-47115abce5c3,16
5e872c4c-b803-3d57-525f-17d8038a6ce6,40
5e872c4d-a8a6-f689-f4d0-0c809e8191c2,53
5e872c4f-8b05-ec92-72dc-b6d49cb94889,33
5e872c52-bcb5-d737-ca47-70fc70c1048e,8
5e872c53-5821-2ef6-2c85-4dc7cceb176a,53
5e872c55-47e1-3c8d-25cd-c1990af04339,47
5e872c56-1e7c-e5ca-0522-384b74883fae,45
5e872c57-abb1-5425-9daf-5106ee6d0e43,51
5e872c5e-b348-abf0-296a-1ebb55f1a434,43
5e872c63-31c9-9734-9130-72f0443e24a9,51
5e872c65-1547-d5eb-7b74-7237b7468d1b,40
5e872c6e-816a-cb4a-dc8b-2640d5c1d654,32
5e872c71-f3f9-dc26-046f-bd5d6ea5ae6e,61
5e872c7f-d6e4-1b3f-e739-67bc52e33baf,49
5e872c8a-39ac-098c-eeb5-99d8b3ebfc91,68
5e872c96-d4cc-ad0c-55d1-5d4351d103ad,62
5e872ca0-9cca-5844-9b9b-d52f5a8bd4ef,34
5e872caa-005a-fcac-1219-6ae31054905a,33
5e872cae-c273-c32f-4ca2-511471fb23bd,61
5e872cb2-858c-945e-b929-47ac8b12c4d7,56
5e872cb4-7e24-bd73-30bc-accee501d823,40
